"행정구역","2022년05월_계_총인구수","2022년05월_계_연령구간인구수","2022년05월_계_0~9세","2022년05월_계_10~19세","2022년05월_계_20~29세","2022년05월_계_30~39세","2022년05월_계_40~49세","2022년05월_계_50~59세","2022년05월_계_60~69세","2022년05월_계_70~79세","2022년05월_계_80~89세","2022년05월_계_90~99세","2022년05월_계_100세 이상"
"전라북도 남원시 (4519000000)","78,787","78,787","4,430","6,973","7,057","5,954","9,934","13,561","13,617","9,548","6,632","1,048","33"
"전라북도 김제시 (4521000000)","80,836","80,836","3,758","6,003","6,837","6,091","9,501","13,280","15,180","11,095","7,767","1,291","33"
"전라북도 완주군 (4571000000)","91,079","91,079","6,111","8,163","8,606","8,755","13,211","15,367","15,015","9,243","5,696","888","24"
"전라북도 진안군 (4572000000)","24,955","24,955","1,093","1,600","1,755","1,477","2,487","4,426","5,306","3,702","2,701","397","11"
"전라북도 무주군 (4573000000)","23,747","23,747","1,031","1,762","1,648","1,586","2,695","4,103","4,754","3,228","2,565","355","20"
"전라북도 장수군 (4574000000)","21,626","21,626","1,004","1,590","1,527","1,382","2,368","3,617","4,388","3,084","2,332","323","11"
"전라북도 임실군 (4575000000)","26,807","26,807","1,252","1,540","1,848","1,801","2,624","4,564","5,358","4,126","3,186","492","16"
"전라북도 순창군 (4577000000)","26,786","26,786","1,197","2,127","1,864","1,700","3,079","4,426","5,138","3,870","2,950","417","18"
"전라북도 고창군 (4579000000)","53,041","53,041","2,361","3,944","3,923","3,485","5,767","8,855","10,118","7,920","5,733","905","30"
"전라북도 부안군 (4580000000)","50,527","50,527","2,246","3,446","3,898","3,529","5,731","8,573","9,935","7,591","4,889","671","18"
"전라남도  (4600000000)","1,827,674","1,827,674","119,998","161,672","190,627","175,040","251,500","313,471","287,388","190,975","118,532","17,940","531"
"전라남도 목포시 (4611000000)","217,912","217,912","15,680","23,699","25,999","22,974","36,033","36,283","30,090","18,105","7,990","1,028","31"
"전라남도 여수시 (4613000000)","275,618","275,618","18,956","25,347","32,157","29,131","40,377","48,196","42,420","25,493","11,689","1,801","51"
"전라남도 순천시 (4615000000)","280,386","280,386","21,999","29,109","35,988","32,427","42,210","49,393","37,004","19,524","10,956","1,716","60"
"전라남도 나주시 (4617000000)","116,391","116,391","9,567","9,651","11,877","14,179","16,808","17,530","17,151","11,344","7,133","1,120","31"
"전라남도 광양시 (4623000000)","151,527","151,527","12,451","15,621","19,230","18,080","23,155","29,791","18,846","8,555","4,913","862","23"
"전라남도 담양군 (4671000000)","46,178","46,178","2,112","2,981","4,403","3,474","5,063","8,229","8,866","6,146","4,243","633","28"
"전라남도 곡성군 (4672000000)","27,443","27,443","921","1,807","2,147","1,593","2,844","4,762","5,321","4,068","3,362","599","19"
"전라남도 구례군 (4673000000)","25,140","25,140","991","1,730","1,841","1,441","2,698","4,522","4,987","3,706","2,794","418","12"
"전라남도 고흥군 (4677000000)","62,513","62,513","2,311","3,595","3,772","3,291","5,921","9,955","13,053","11,273","7,884","1,416","42"
"전라남도 보성군 (4678000000)","39,084","39,084","1,467","2,434","2,622","2,230","3,815","6,475","7,817","6,367","4,985","846","26"
"전라남도 화순군 (4679000000)","62,587","62,587","3,126","5,423","6,672","4,585","7,822","11,497","10,343","7,193","5,144","759","23"
"전라남도 장흥군 (4680000000)","36,181","36,181","1,722","2,549","2,786","2,416","3,787","6,113","6,744","5,294","4,070","686","14"
"전라남도 강진군 (4681000000)","33,461","33,461","1,476","2,355","2,606","2,193","3,472","5,480","6,501","4,977","3,772","615","14"
"전라남도 해남군 (4682000000)","66,722","66,722","3,450","4,912","5,279","4,401","7,589","11,249","12,733","9,759","6,369","954","27"
"전라남도 영암군 (4683000000)","53,108","53,108","3,098","4,228","4,893","4,310","7,250","9,578","8,741","6,113","4,268","617","12"
"전라남도 무안군 (4684000000)","90,882","90,882","7,898","9,778","9,402","10,864","14,593","13,533","11,682","7,851","4,630","630","21"
"전라남도 함평군 (4686000000)","31,076","31,076","1,148","1,982","2,270","1,770","3,237","5,306","6,251","4,809","3,742","545","16"
"전라남도 영광군 (4687000000)","52,033","52,033","3,591","3,930","4,645","4,518","6,278","8,460","8,737","6,847","4,450","552","25"
"전라남도 장성군 (4688000000)","43,190","43,190","2,339","3,073","3,765","3,275","5,206","7,508","7,764","5,702","4,010","531","17"
"전라남도 완도군 (4689000000)","48,197","48,197","2,787","3,465","3,436","3,462","5,859","7,814","8,770","7,238","4,686","663","17"
"전라남도 진도군 (4690000000)","29,888","29,888","1,510","2,087","2,340","2,018","3,376","4,945","5,554","4,460","3,162","425","11"
"전라남도 신안군 (4691000000)","38,157","38,157","1,398","1,916","2,497","2,408","4,107","6,852","8,013","6,151","4,280","524","11"
"경상북도  (4700000000)","2,616,177","2,616,177","172,628","220,543","269,089","274,115","374,777","453,681","437,700","247,015","144,989","21,073","567"
"경상북도 포항시 (4711000000)","500,324","500,324","36,085","45,750","54,860","56,342","76,309","88,423","83,622","39,541","16,942","2,388","62"
"경상북도 포항시 남구 (4711100000)","229,188","229,188","15,745","20,838","25,799","25,259","35,339","40,612","38,535","18,564","7,482","991","24"
"경상북도 포항시 북구 (4711300000)","271,136","271,136","20,340","24,912","29,061","31,083","40,970","47,811","45,087","20,977","9,460","1,397","38"
"경상북도 경주시 (4713000000)","251,021","251,021","14,888","20,048","24,952","24,143","35,342","46,574","43,939","25,156","13,949","1,978","52"
"경상북도 김천시 (4715000000)","140,023","140,023","9,748","12,337","13,738","14,268","19,154","23,563","23,546","13,759","8,583","1,293","34"
"경상북도 안동시 (4717000000)","156,006","156,006","9,646","13,327","15,918","14,605","21,373","25,668","26,826","16,740","10,312","1,554","37"
"경상북도 구미시 (4719000000)","409,679","409,679","37,204","43,746","52,849","61,814","72,483","70,235","44,425","16,969","8,648","1,270","36"
"경상북도 영주시 (4721000000)","101,421","101,421","5,560","8,483","9,230","8,045","13,301","17,203","19,182","11,919","7,338","1,117","43"
"경상북도 영천시 (4723000000)","101,391","101,391","5,457","6,494","9,278","9,003","12,060","17,968","19,847","12,846","7,459","960","19"
"경상북도 상주시 (4725000000)","95,501","95,501","4,757","7,348","7,559","6,907","10,837","16,081","19,279","12,370","8,916","1,406","41"
"경상북도 문경시 (4728000000)","72,390","72,390","3,831","5,462","6,408","5,516","8,636","12,010","14,392","9,216","6,009","873","37"
"경상북도 경산시 (4729000000)","267,579","267,579","19,073","22,829","35,651","32,337","41,513","46,018","37,966","20,580","10,294","1,288","30"
"경상북도 군위군 (4772000000)","23,409","23,409","606","912","1,385","1,287","2,013","4,247","5,747","4,023","2,812","360","17"
"경상북도 의성군 (4773000000)","50,597","50,597","1,782","2,138","2,736","2,956","4,398","8,119","12,285","8,782","6,462","923","16"
"경상북도 청송군 (4775000000)","24,532","24,532","877","1,129","1,546","1,560","2,215","4,431","5,761","4,008","2,629","366","10"
"경상북도 영양군 (4776000000)","16,262","16,262","650","883","1,037","972","1,559","2,830","3,650","2,557","1,828","284","12"
"경상북도 영덕군 (4777000000)","35,092","35,092","1,428","1,961","2,162","2,107","3,568","5,985","7,513","5,717","4,057","580","14"
"경상북도 청도군 (4782000000)","41,694","41,694","1,372","2,187","2,483","2,451","4,216","7,047","9,998","6,760","4,481","690","9"
"경상북도 고령군 (4783000000)","30,428","30,428","1,248","1,862","2,244","1,935","3,472","5,694","6,646","4,187","2,766","367","7"
"경상북도 성주군 (4784000000)","42,910","42,910","1,771","2,155","3,062","3,109","4,489","7,963","10,081","6,068","3,639","558","15"
"경상북도 칠곡군 (4785000000)","113,312","113,312","8,240","11,274","11,314","13,220","20,476","20,258","15,246","7,800","4,750","713","21"
"경상북도 예천군 (4790000000)","55,647","55,647","4,312","4,510","3,956","5,131","7,262","7,858","9,851","6,725","5,253","765","24"
"경상북도 봉화군 (4792000000)","30,515","30,515","1,149","1,789","1,756","1,679","2,958","5,394","7,174","4,688","3,374","535","19"
"경상북도 울진군 (4793000000)","47,430","47,430","2,592","3,480","4,132","3,934","5,911","8,295","8,863","5,518","3,969","724","12"
"경상북도 울릉군 (4794000000)","9,014","9,014","352","439","833","794","1,232","1,817","1,861","1,086","519","81","0"
"경상남도  (4800000000)","3,298,016","3,298,016","241,484","317,932","352,833","371,689","524,479","579,604","500,819","255,184","134,240","19,345","407"
"경상남도 창원시 (4812000000)","1,027,429","1,027,429","76,097","97,470","122,204","128,064","165,659","183,786","153,211","68,146","28,844","3,879","69"
"경상남도 창원시 의창구 (4812100000)","216,665","216,665","16,427","19,255","27,071","27,591","33,680","40,903","32,694","12,811","5,457","762","14"
"경상남도 창원시 성산구 (4812300000)","250,147","250,147","17,827","25,244","35,704","34,669","39,803","50,562","32,481","9,457","3,782","608","10"
"경상남도 창원시 마산합포구 (4812500000)","180,974","180,974","12,800","14,314","18,576","20,983","26,930","29,202","31,780","17,496","7,789","1,081","23"
"경상남도 창원시 마산회원구 (4812700000)","185,215","185,215","11,666","17,342","20,361","19,758","29,156","33,247","31,170","15,841","5,986","676","12"
"경상남도 창원시 진해구 (4812900000)","194,428","194,428","17,377","21,315","20,492","25,063","36,090","29,872","25,086","12,541","5,830","752","10"
"경상남도 진주시 (4817000000)","345,463","345,463","26,037","34,436","43,581","40,274","52,882","57,114","49,352","26,348","13,465","1,917","57"
"경상남도 통영시 (4822000000)","124,346","124,346","8,082","12,595","10,246","11,762","20,609","21,921","21,580","11,623","5,244","671","13"
"경상남도 사천시 (4824000000)","109,474","109,474","7,308","10,134","10,023","10,852","17,241","18,432","17,460","10,891","6,169","943","21"
"경상남도 사천남양출장소 (4824500000)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경상남도 김해시 (4825000000)","536,340","536,340","44,465","59,811","64,981","65,137","95,483","99,546","64,840","27,872","12,621","1,552","32"
"경상남도 장유출장소 (4825200000)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경상남도 밀양시 (4827000000)","103,293","103,293","5,081","7,385","8,429","8,251","12,573","18,136","22,069","12,995","7,386","970","18"
"경상남도 거제시 (4831000000)","238,822","238,822","22,934","27,884","21,861","31,084","47,097","40,522","29,359","11,802","5,392","862","25"
"경상남도 양산시 (4833000000)","353,939","353,939","31,596","35,000","38,247","46,133","61,689","59,986","47,480","22,587","9,949","1,243","29"
"경상남도 양산시웅상출장소 (4833200000)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경상남도 의령군 (4872000000)","26,359","26,359","1,003","1,400","1,758","1,626","2,677","4,454","5,904","3,887","3,106","531","13"
"경상남도 함안군 (4873000000)","62,078","62,078","3,408","5,694","4,848","4,862","8,708","10,994","11,868","6,707","4,316","663","10"
"경상남도 창녕군 (4874000000)","59,568","59,568","2,732","4,016","4,185","4,495","6,767","10,497","12,858","8,041","5,211","753","13"
"경상남도 고성군 (4882000000)","50,018","50,018","2,147","3,946","3,513","3,294","5,893","8,873","10,302","6,843","4,448","747","12"
"경상남도 남해군 (4884000000)","42,128","42,128","1,481","2,790","2,943","2,289","4,283","7,040","8,685","6,637","4,989","978","13"
"경상남도 하동군 (4885000000)","43,036","43,036","1,567","2,593","2,842","2,451","4,419","7,963","9,517","6,292","4,562","816","14"
"경상남도 산청군 (4886000000)","34,205","34,205","1,145","1,963","2,155","1,872","3,240","6,225","7,886","5,217","3,852","634","16"
"경상남도 함양군 (4887000000)","38,269","38,269","1,651","2,775","2,792","2,394","4,041","6,739","7,822","5,364","4,044","638","9"
"경상남도 거창군 (4888000000)","60,689","60,689","3,370","5,781","5,560","4,579","7,337","10,226","10,972","6,930","5,116","793","25"
"경상남도 합천군 (4889000000)","42,560","42,560","1,380","2,259","2,665","2,270","3,881","7,150","9,654","7,002","5,526","755","18"
"제주특별자치도  (5000000000)","677,766","677,766","56,769","70,458","79,445","80,207","111,658","116,482","86,227","46,361","25,561","4,390","208"
"제주특별자치도 제주시 (5011000000)","493,275","493,275","42,710","52,781","61,128","60,948","82,000","83,799","59,351","30,847","16,575","3,004","132"
"제주특별자치도 서귀포시 (5013000000)","184,491","184,491","14,059","17,677","18,317","19,259","29,658","32,683","26,876","15,514","8,986","1,386","76"
